Date,Open,High,Low,Close,Volume,Market Cap
Apr-27-2021,53993.067739073,55392.545776256,53305.02,54924.014700428,88040474935.70862,1019353281891.478
Apr-26-2021,49045.573224645,54229.301378494,48817.993817532,53954.40656687,97639482840.27106,988564795880.4296
Apr-25-2021,50069.186874544,50471.37,47199.806670593,48987.681638512,73945549997.83684,927035095761.8909
Apr-24-2021,51084.098508532,51084.098508532,48769.318568821,50007.715949987,118673612341.04921,934950269595.5847
Apr-23-2021,51740.14985221,52049.554245881,47731.2,51020.041151817,172670297787.2005,931686556046.2334
Apr-22-2021,53868.59,55331.427986936,50591.899618194,51843.679797905,127377801203.73653,1005208001116.4878
Apr-21-2021,56453.86,56715.885279141,53714.77,53889.33,114642171908.68785,1035703581381.6178
Apr-20-2021,55653.851876131,56983.76,53488.26,56363.62,122923034039.2283,1036449270399.1387
Apr-19-2021,56183.520461118,57424.305365971,54333.899600625,55653.244867317,139509205538.41348,1052425348213.242
Apr-18-2021,60028.39,60274.64,52569.439888707,56037.128717561,185812398998.34134,1045652144527.6986
Apr-17-2021,61342.968880339,62420.539256881,59767.22,60078.27,159749829773.17035,1144740077837.9856
Apr-16-2021,63207.09,63493.56,60153.645486345,61504.768623643,165610153604.99374,1152385884372.2844
Apr-15-2021,62999.982633146,63628.83,62090.5,63183.14,169238154522.35883,1174837897129.074
Apr-14-2021,63545.12,64816.101873759,61529.32,62628.975942463,173884088327.92194,1184937003554.743
Apr-13-2021,59868.27,63720.71,59868.27,63528.48,158430038672.48877,1161411096747.8167
Apr-12-2021,60007.793017067,61095.008730683,59586.154028218,59940.53,100979406140.75008,1123013039967.3757
Apr-11-2021,59716.553420893,60590.055143333,59246.503904371,60018.28649422,97875436776.96034,1117365110731.6228
Apr-10-2021,58135.35,61210.69,57951.923907836,59747.436800736,103026133874.74176,1118708770341.1785
Apr-09-2021,58077.06,58841.41,57722.220559993,58159.44,77270327841.63026,1087296640269.7361
Apr-08-2021,55872.863775655,58087.980725351,55819.741035944,58019.88,104686589216.23338,1067929892061.7366
Apr-07-2021,57979.296824399,58627.112892427,55558.496987732,56073.471560786,109029801399.0376,1064137361929.3365
Apr-06-2021,59096.001689842,59398.742893012,57599.943563651,58093.238332403,104554598225.67928,1091770394390.8817
Apr-05-2021,58197.978729273,59134.63,56844.948892987,58777.739363776,97931171132.71126,1084528725630.7042
Apr-04-2021,57092.446157657,58412.534020509,56589.619340368,58215.19,104713372859.30452,1077506387550.9282
Apr-03-2021,58975.833538924,59690.998041732,57022.931472565,57139.137960369,91212846892.23167,1100367640719.8984
Apr-02-2021,58727.648378485,60063.776357555,58529.498116334,58963.327596364,105128774133.54964,1106625591884.8916
Apr-01-2021,58751.790587493,59319.270690471,58147.844868494,58755.615177915,115654009708.86974,1099175922465.8892
Mar-31-2021,58763.827956315,59777.71,57447.36,58719.454369704,102853343111.27643,1095749772784.0089
Mar-30-2021,57612.522985506,59311.038575993,57140.7,58693.948561784,98089413349.6299,1089305782131.2916
Mar-29-2021,55748.632014917,58339.973951146,54994.35,57664.850966586,91499980031.03542,1062399656260.8448
Mar-28-2021,55841.634784662,56489.17,54850.21,55861.95,82011404713.58173,1042070133008.1964
Mar-27-2021,55008.056535533,56456.803917721,54033.568678451,55917.880112079,88506866566.9326,1029633507508.1704
Mar-26-2021,51355.704557906,55002.769793935,51355.704557906,55002.769793935,108542946098.89214,992845345259.7603
Mar-25-2021,52382.797866628,53139.130244138,50572.98432636,51412.192011042,131460234153.92424,972876679744.1349
Mar-24-2021,54464.941296883,57028.63,52075.590680334,52584.785401622,99933043546.1793,1029272089119.4928
Mar-23-2021,54185.29357863,55799.02,53213.99894907,54599.961810643,109449851792.81044,1020684367089.926
Mar-22-2021,57384.45757667,58200.01,53833.723780522,54249.990775698,92548643674.98073,1059665036029.6736
Mar-21-2021,58057.69,58549.97,55928.752149681,57392.205695478,95572143441.6789,1068857787372.2863
Mar-20-2021,58098.078393289,59869.85,58016.579631578,58219.82,87958442364.3281,1096422104535.9305
Mar-19-2021,57666.273208078,59448.831135223,56348.064844074,58091.623667025,101631795534.46152,1087318165332.2467
Mar-18-2021,58891.031996406,60024.601875333,57287.611931323,57687.520560171,113184110344.01257,1090993900551.0859
Mar-17-2021,56857.306066143,58863.677485496,54376.494725263,58711.978740212,103479709533.54459,1047096715188.0651
Mar-16-2021,55571.193837491,56788.88400522,53393.033648816,56455.998436302,129824122177.71213,1032475724522.9333
Mar-15-2021,59150.403028178,60550.874707961,55338.280935723,55723.949158947,127943028372.57341,1072861279123.0306
Mar-14-2021,61219.3484261,61617.996614711,59380.018943745,59380.018943745,122350418659.22339,1127962802204.3772
Mar-13-2021,57250.137875209,61662.205960194,56089.273978716,61297.997385093,133874862330.59613,1096783082569.1348
Mar-12-2021,57716.881672776,58031.000810363,55195.349719158,57278.155019056,132357056562.19308,1059963767316.9438
Mar-11-2021,55865.299828819,58131.335829341,54483.025390398,57633.699811129,138622973047.75595,1049412610454.1602
Mar-10-2021,54854.79160754,57286.432450221,53174.377203494,55998.739272912,120454358101.13034,1032239421687.4233
Mar-09-2021,52265.016204683,54839.979170391,51976.019157041,54759.461685978,117158259798.89163,1006047046299.8694
Mar-08-2021,50934.444601724,52326.862441311,49375.174275611,52326.862441311,101647849696.18727,946662347610.6323
Mar-07-2021,48872.693979548,51409.226747725,48872.693979548,51409.226747725,86479140578.54686,935917409235.7894
Mar-06-2021,48819.984558032,49081.953510424,47155.957542722,48884.800434591,97560333723.04031,901644582923.7635
Mar-05-2021,48450.016215223,49389.980902438,46414.588639148,48901.915683951,117859323450.23126,889473556807.4288
Mar-04-2021,50451.119242724,51738.864851054,47633.154237724,48523.779583539,119186130857.47658,920924781727.3862
Mar-03-2021,48466.456336849,52513.115293311,48144.564786964,50593.579779577,108365200914.1684,939512750119.2106
Mar-02-2021,49589.983816828,50179.372781384,47150.26015529,48245.59608153,111601588572.5958,905796140014.7062
Mar-01-2021,45109.070026715,49752.650170761,45015.584230531,49557.936855621,112766464735.36377,886579969867.6401
Feb-28-2021,46132.387057359,46540.991962894,43164.542809999,44986.744834586,94856286509.80986,834743254119.4801
Feb-27-2021,46266.026627925,48346.552952293,45136.062526661,46202.313746958,119956885361.70639,878310825155.0222
Feb-26-2021,46986.597533968,48380.671216384,44499.997793876,46205.257719958,136768565573.61697,868707953809.0167
Feb-25-2021,49668.13321001,51791.921327804,47264.216595606,47372.377990661,124602948614.84659,931552716323.3297
Feb-24-2021,48889.930494258,51223.540344033,47169.071104729,49577.667053636,174558097499.38934,927168184009.3646
Feb-23-2021,54099.980661749,54099.980661749,45256.179829757,48514.382154476,212151513117.87042,913257487103.7423
Feb-22-2021,57411.011820817,57411.011820817,49410.201627632,54153.655191753,149261235644.12186,1019306544378.4252
Feb-21-2021,55969.530622648,58301.831486473,55560.541830753,57367.946141722,139771860152.9566,1062173524746.6239
Feb-20-2021,55841.110508027,57530.021690749,54753.834239833,56008.787435495,140453622250.90015,1047912759137.8967
Feb-19-2021,51564.717399117,56229.120609577,50856.485178347,55795.155052979,113055134900.88725,989022402978.7489
Feb-18-2021,52091.9258349,52493.726678308,50920.666933165,51656.846873218,120111456625.69244,966867951236.198
Feb-17-2021,49128.607890832,52514.956601818,49088.69796565,52127.620932861,142714894908.7139,948273280355.4424
Feb-16-2021,47927.987260302,50344.017500916,47187.624536482,49261.050774171,128596282134.78947,909963253204.201
Feb-15-2021,48643.603406616,48884.837314601,46167.980204254,47981.977492583,121933582464.31573,890979166011.1172
Feb-14-2021,47123.820707547,49566.060732911,47123.820707547,48673.329709376,144739442865.15906,904294295184.9419
Feb-13-2021,47299.703224291,48089.521489205,46402.367688975,47056.769564544,143039618394.03668,879475823410.589
Feb-12-2021,47991.937162717,48654.384425336,46459.805609765,47622.56892074,137346856098.88525,885659635122.4756
Feb-11-2021,44809.542155379,48523.099663924,44049.822985271,47680.424437754,125776147417.46045,860969534626.3812
Feb-10-2021,46504.799902823,47281.526416141,43864.280561659,44866.502278149,129490884290.81744,852080990171.5688
Feb-09-2021,46533.336937715,47893.551624022,45164.667993773,46511.520580186,183198175979.178,868140615964.038
